I,Q
-7.212368845939636230e-01,-6.949070096015930176e-01
7.043558359146118164e-01,7.111831307411193848e-01
6.377996206283569336e-01,-6.592867970466613770e-01
7.122557163238525391e-01,-7.509909272193908691e-01
6.664128899574279785e-01,-7.360324859619140625e-01
7.166225910186767578e-01,7.080118656158447266e-01
-6.834897398948669434e-01,6.713017821311950684e-01
7.762531042098999023e-01,-7.104989290237426758e-01
6.764921545982360840e-01,-6.618146896362304688e-01
6.613261699676513672e-01,6.978642344474792480e-01
-6.959900259971618652e-01,-6.740391850471496582e-01
-6.909685134887695312e-01,7.195680141448974609e-01
7.073300480842590332e-01,-6.790989041328430176e-01
7.609213590621948242e-01,7.352380752563476562e-01
7.022214531898498535e-01,6.907541751861572266e-01
-7.264575958251953125e-01,7.305586934089660645e-01
-6.979208588600158691e-01,7.290887236595153809e-01
6.622994542121887207e-01,7.861955165863037109e-01
7.459759116172790527e-01,7.487367391586303711e-01
-7.155259847640991211e-01,7.882035970687866211e-01
6.421257257461547852e-01,6.172211170196533203e-01
6.575173139572143555e-01,-6.834660768508911133e-01
6.815382242202758789e-01,6.646644473075866699e-01
7.521801590919494629e-01,7.383473515510559082e-01
7.381834983825683594e-01,-7.257210612297058105e-01
7.276571393013000488e-01,-6.864571571350097656e-01
-7.422192692756652832e-01,-6.888554096221923828e-01
-6.543759703636169434e-01,-7.436735630035400391e-01
-7.077583670616149902e-01,-6.759353876113891602e-01
-7.034415006637573242e-01,6.966769099235534668e-01
6.570619940757751465e-01,6.989124417304992676e-01
-7.681531906127929688e-01,6.821562647819519043e-01
-7.247350215911865234e-01,6.466274261474609375e-01
5.606012344360351562e-01,-7.428016662597656250e-01
6.753225326538085938e-01,-8.462338447570800781e-01
7.630552649497985840e-01,7.349526286125183105e-01
7.285445332527160645e-01,-6.964424848556518555e-01
-6.719051003456115723e-01,7.362595796585083008e-01
-6.611340045928955078e-01,6.570677161216735840e-01
7.695723772048950195e-01,-6.611261367797851562e-01
-6.860555410385131836e-01,-7.564426660537719727e-01
7.014170885086059570e-01,6.578020453453063965e-01
7.818702459335327148e-01,7.066602706909179688e-01
-7.030321955680847168e-01,-6.817083358764648438e-01
-6.673727631568908691e-01,6.902733445167541504e-01
7.692146301269531250e-01,-6.899223923683166504e-01
7.413724660873413086e-01,7.339081764221191406e-01
7.425560951232910156e-01,6.800475120544433594e-01
7.415278553962707520e-01,-7.066408395767211914e-01
6.717702746391296387e-01,-6.265571713447570801e-01
6.982466578483581543e-01,-6.620301604270935059e-01
-7.026922106742858887e-01,-6.820616722106933594e-01
6.489915251731872559e-01,-6.990821957588195801e-01
-6.880322694778442383e-01,6.807703971862792969e-01
-7.276485562324523926e-01,-7.338041067123413086e-01
7.442738413810729980e-01,6.780085563659667969e-01
6.679706573486328125e-01,6.497129201889038086e-01
6.790306568145751953e-01,7.511891722679138184e-01
7.411050796508789062e-01,6.945865154266357422e-01
-6.866829395294189453e-01,6.893241405487060547e-01
7.702745795249938965e-01,-6.808236837387084961e-01
-6.922287344932556152e-01,7.062914967536926270e-01
6.798162460327148438e-01,6.977444887161254883e-01
-6.847093105316162109e-01,-6.818690896034240723e-01
7.908090353012084961e-01,7.826255559921264648e-01
-6.259104609489440918e-01,-6.897639632225036621e-01
7.188078165054321289e-01,7.321107387542724609e-01
7.543501853942871094e-01,6.508409976959228516e-01
6.786633133888244629e-01,-6.391674876213073730e-01
-6.887900829315185547e-01,-6.316086649894714355e-01
6.465781331062316895e-01,6.823186278343200684e-01
-6.570969820022583008e-01,8.310221433639526367e-01
6.991721987724304199e-01,6.719740033149719238e-01
6.995561718940734863e-01,6.842325329780578613e-01
8.239557743072509766e-01,7.458754777908325195e-01
-7.371893525123596191e-01,7.655668854713439941e-01
6.123448014259338379e-01,-6.450480222702026367e-01
-8.192700743675231934e-01,6.766442656517028809e-01
-7.595773339271545410e-01,-7.838029265403747559e-01
6.925481557846069336e-01,7.741732597351074219e-01
7.454548478126525879e-01,6.871454715728759766e-01
8.179413080215454102e-01,7.333817481994628906e-01
-7.389558553695678711e-01,8.229291439056396484e-01
-7.473894953727722168e-01,6.473487019538879395e-01
-6.873797178268432617e-01,-6.052526831626892090e-01
7.610937952995300293e-01,-6.598365306854248047e-01
7.909152507781982422e-01,6.883078813552856445e-01
7.086364030838012695e-01,6.317120790481567383e-01
7.128226757049560547e-01,-6.665600538253784180e-01
7.076399326324462891e-01,-7.652083635330200195e-01
-7.142677307128906250e-01,-6.449317932128906250e-01
-5.988880395889282227e-01,-6.180491447448730469e-01
-7.075828909873962402e-01,-7.026001811027526855e-01
-6.059108376502990723e-01,6.514544486999511719e-01
7.069320678710937500e-01,-7.543134689331054688e-01
6.839106082916259766e-01,7.609041333198547363e-01
-6.883200407028198242e-01,-6.685228347778320312e-01
6.954815983772277832e-01,6.756889820098876953e-01
7.580776810646057129e-01,6.927529573440551758e-01
7.352718114852905273e-01,-6.543246507644653320e-01
7.824473977088928223e-01,-7.277809381484985352e-01
-7.283270359039306641e-01,6.947202086448669434e-01
-7.287425398826599121e-01,-7.423948645591735840e-01
-6.925990581512451172e-01,-7.245831489562988281e-01
-6.175225377082824707e-01,-6.510537862777709961e-01
6.969546675682067871e-01,7.081357836723327637e-01
-6.862860321998596191e-01,6.661037802696228027e-01
7.125109434127807617e-01,-6.508828401565551758e-01
6.578124761581420898e-01,-6.090094447135925293e-01
-7.616661190986633301e-01,-7.341727614402770996e-01
6.524275541305541992e-01,-7.051054835319519043e-01
-7.875749468803405762e-01,6.399568319320678711e-01
7.097269296646118164e-01,-7.113404870033264160e-01
6.900344491004943848e-01,6.810756921768188477e-01
-7.061219215393066406e-01,6.418560743331909180e-01
-6.745839118957519531e-01,6.808905601501464844e-01
7.214195132255554199e-01,7.046486735343933105e-01
6.931251287460327148e-01,-6.786939501762390137e-01
6.274539232254028320e-01,7.042208313941955566e-01
8.521704673767089844e-01,-7.424946427345275879e-01
7.441496849060058594e-01,6.916027069091796875e-01
6.934388875961303711e-01,-6.720921993255615234e-01
6.907463073730468750e-01,-7.116900682449340820e-01
7.263379693031311035e-01,7.213889360427856445e-01
6.448224186897277832e-01,-7.308126091957092285e-01
-7.460307478904724121e-01,6.628623604774475098e-01
6.974098682403564453e-01,-8.303871154785156250e-01
-7.151473164558410645e-01,6.953751444816589355e-01
-7.085115313529968262e-01,6.538016796112060547e-01
-7.010759711265563965e-01,-6.890052556991577148e-01
7.801076769828796387e-01,-6.857855319976806641e-01
7.023167610168457031e-01,6.745426058769226074e-01
7.218806147575378418e-01,-7.812035083770751953e-01
6.844707727432250977e-01,-7.145453095436096191e-01
-7.330324649810791016e-01,7.540233135223388672e-01
7.050393223762512207e-01,-7.176506519317626953e-01
7.277946472167968750e-01,-7.292583584785461426e-01
6.454166173934936523e-01,-6.690480113029479980e-01
6.770515441894531250e-01,-6.882916688919067383e-01
-7.119063138961791992e-01,-6.008437871932983398e-01
6.036933064460754395e-01,6.653358340263366699e-01
-6.225510835647583008e-01,7.253009080886840820e-01
-7.577545642852783203e-01,6.584916114807128906e-01
7.407656311988830566e-01,-6.403830647468566895e-01
7.314033508300781250e-01,-7.313387393951416016e-01
-7.615694403648376465e-01,7.613613009452819824e-01
6.865061521530151367e-01,-7.641536593437194824e-01
-7.768714427947998047e-01,6.483182907104492188e-01
-6.514584422111511230e-01,-6.849688887596130371e-01
7.395361661911010742e-01,-6.534245610237121582e-01
-7.169835567474365234e-01,6.727967262268066406e-01
7.035443782806396484e-01,7.439630031585693359e-01
6.721844077110290527e-01,-6.580781936645507812e-01
7.498141527175903320e-01,-7.084807157516479492e-01
-7.311474084854125977e-01,5.716331005096435547e-01
7.831265926361083984e-01,-7.229224443435668945e-01
6.754420995712280273e-01,6.914617419242858887e-01
-8.264892101287841797e-01,-6.975607872009277344e-01
-6.543243527412414551e-01,7.086426019668579102e-01
6.837124228477478027e-01,-6.537020802497863770e-01
-6.764605641365051270e-01,8.080713748931884766e-01
-7.549987435340881348e-01,6.909513473510742188e-01
-7.325455546379089355e-01,-6.806972026824951172e-01
7.382668256759643555e-01,7.093852162361145020e-01
-8.114334344863891602e-01,-6.601287126541137695e-01
7.691092491149902344e-01,-6.799560785293579102e-01
6.744046211242675781e-01,8.289524912834167480e-01
-6.975814104080200195e-01,6.377496719360351562e-01
7.521992325782775879e-01,7.038304209709167480e-01
6.743966937065124512e-01,-7.359631657600402832e-01
-7.196710705757141113e-01,-7.723553180694580078e-01
6.814578175544738770e-01,-7.270681262016296387e-01
6.821167469024658203e-01,6.755171418190002441e-01
7.398632764816284180e-01,-7.368770837783813477e-01
6.547606587409973145e-01,5.823733806610107422e-01
6.791688203811645508e-01,6.942405700683593750e-01
-6.967219114303588867e-01,7.375233769416809082e-01
-6.135207414627075195e-01,6.580203771591186523e-01
-6.908223628997802734e-01,6.462813615798950195e-01
-6.942384839057922363e-01,7.300938963890075684e-01
-6.174347400665283203e-01,6.767217516899108887e-01
-6.909957528114318848e-01,6.768866777420043945e-01
6.733750700950622559e-01,6.829386353492736816e-01
-7.566916346549987793e-01,6.947492361068725586e-01
-7.631982564926147461e-01,8.126271963119506836e-01
7.690958976745605469e-01,-6.856678724288940430e-01
6.673708558082580566e-01,-6.818608641624450684e-01
-6.790226697921752930e-01,-7.307001948356628418e-01
-7.237670421600341797e-01,6.706918478012084961e-01
7.550460100173950195e-01,6.445363759994506836e-01
6.697213053703308105e-01,6.222170591354370117e-01
7.753786444664001465e-01,6.887416839599609375e-01
-7.559064030647277832e-01,7.080981731414794922e-01
6.700539588928222656e-01,-7.347447872161865234e-01
-6.771020293235778809e-01,-6.727561354637145996e-01
7.053683996200561523e-01,7.100204825401306152e-01
6.832958459854125977e-01,-6.933704614639282227e-01
6.033931970596313477e-01,-7.146958112716674805e-01
-7.865663766860961914e-01,7.356798052787780762e-01
6.365123987197875977e-01,-7.172561883926391602e-01
-7.022444009780883789e-01,7.283636927604675293e-01
-7.800174951553344727e-01,7.195867896080017090e-01
-7.734067440032958984e-01,-7.025878429412841797e-01
6.822966337203979492e-01,6.394518017768859863e-01
-8.333522081375122070e-01,-7.232711911201477051e-01
6.537514925003051758e-01,7.271744012832641602e-01
6.504976749420166016e-01,-6.566424965858459473e-01
-6.280279755592346191e-01,6.465614438056945801e-01
-7.559155225753784180e-01,-7.256767153739929199e-01
-6.890083551406860352e-01,7.718102931976318359e-01
7.173500061035156250e-01,-7.225102782249450684e-01
-7.482795715332031250e-01,-7.640423178672790527e-01
-7.473473548889160156e-01,-7.249680161476135254e-01
-7.635110616683959961e-01,-6.583783030509948730e-01
-7.518519759178161621e-01,-6.703401803970336914e-01
7.073439359664916992e-01,6.598736047744750977e-01
-7.224435806274414062e-01,-7.072900533676147461e-01
6.723226904869079590e-01,-6.616243720054626465e-01
6.811044812202453613e-01,-6.931734681129455566e-01
6.960486173629760742e-01,-6.683683991432189941e-01
-7.213730812072753906e-01,-6.685517430305480957e-01
7.665246129035949707e-01,6.623114347457885742e-01
-7.257650494575500488e-01,7.156401872634887695e-01
-7.039766907691955566e-01,6.388577818870544434e-01
7.036588788032531738e-01,-7.283986806869506836e-01
7.481253743171691895e-01,-6.543590426445007324e-01
-7.882628440856933594e-01,7.071141600608825684e-01
-8.267244100570678711e-01,6.827195286750793457e-01
6.946931481361389160e-01,7.284381985664367676e-01
7.380906343460083008e-01,7.149457931518554688e-01
-7.332232594490051270e-01,8.189559578895568848e-01
7.222667336463928223e-01,7.562351822853088379e-01
-7.096714377403259277e-01,-6.395542025566101074e-01
-6.826856136322021484e-01,8.361481428146362305e-01
-7.345253229141235352e-01,-7.412026524543762207e-01
6.709883809089660645e-01,-7.633554935455322266e-01
7.074056267738342285e-01,7.560060620307922363e-01
-7.033199667930603027e-01,-7.256873250007629395e-01
-8.017483353614807129e-01,-7.121411561965942383e-01
-6.593313813209533691e-01,7.482626438140869141e-01
6.090168356895446777e-01,7.073674798011779785e-01
6.119531989097595215e-01,6.919718384742736816e-01
7.251060009002685547e-01,-6.127731800079345703e-01
-6.074271798133850098e-01,-6.941931843757629395e-01
6.933909654617309570e-01,6.808067560195922852e-01
-7.338424324989318848e-01,-6.754415035247802734e-01
-6.608099341392517090e-01,7.574099302291870117e-01
-7.243388295173645020e-01,-7.268958091735839844e-01
6.641445159912109375e-01,7.952638268470764160e-01
7.426084280014038086e-01,-7.055928707122802734e-01
7.698832154273986816e-01,7.724307775497436523e-01
-7.133035063743591309e-01,-6.388550996780395508e-01
6.011978387832641602e-01,-7.846945524215698242e-01
-7.814667820930480957e-01,6.874440312385559082e-01
-7.059574127197265625e-01,7.702709436416625977e-01
7.333700060844421387e-01,6.670052409172058105e-01
7.824023365974426270e-01,-7.771712541580200195e-01
6.867141127586364746e-01,7.288416624069213867e-01
-7.277826666831970215e-01,-6.462211012840270996e-01
-7.124322056770324707e-01,-7.176344394683837891e-01
7.575589418411254883e-01,6.929132938385009766e-01
7.499969601631164551e-01,-7.042879462242126465e-01
-6.193537116050720215e-01,6.448526978492736816e-01
-7.575940489768981934e-01,-6.822950839996337891e-01
7.201922535896301270e-01,8.185701370239257812e-01
-6.657357811927795410e-01,-7.336162924766540527e-01
6.136519312858581543e-01,6.617006659507751465e-01
